pair,Class,Method,model_chatgpt_4o,model_chatgpt_o3,model_claude3_7,model_deepseek_r1_,model_gemini_2_5_pro_preview_05_06,model_grok3,model_llama4,model_mistral,model_qwen3
address::isverified,address,isverified,0,0,1,0,0,0,0,0,0
address::markasunverified,address,markasunverified,0,0,0,0,1,0,0,0,0
address::markasverified,address,markasverified,0,0,1,0,1,0,0,0,1
address::updateaddress,address,updateaddress,0,0,0,0,0,0,1,0,0
address::updateaddressdetails,address,updateaddressdetails,0,0,0,0,1,0,0,0,0
address::updatecoordinates,address,updatecoordinates,0,0,0,0,1,0,0,0,0
address::updatedetails,address,updatedetails,0,0,0,0,1,0,0,0,0
address::updateposition,address,updateposition,0,0,1,0,0,0,0,0,0
address::updatevalidationstatus,address,updatevalidationstatus,0,0,0,0,0,0,1,0,0
address::validate,address,validate,0,0,1,1,1,0,0,0,0
address::validateaddress,address,validateaddress,0,0,1,0,1,0,1,0,1
address::validateaddressconsistency,address,validateaddressconsistency,0,0,0,1,0,0,0,0,1
address::validateconsistency,address,validateconsistency,0,0,0,1,0,0,0,0,0
address::validateformat,address,validateformat,0,0,1,1,0,0,0,0,0
address::verify,address,verify,0,0,1,0,0,0,0,0,0
address::verifyaddress,address,verifyaddress,0,0,1,1,1,0,0,0,1
address::verifycoordinates,address,verifycoordinates,0,0,1,0,0,0,0,0,0
address::verifylocation,address,verifylocation,0,0,1,0,0,0,0,0,0
collectionpoint::addcollectionpoint,collectionpoint,addcollectionpoint,0,0,0,0,0,1,1,1,0
collectionpoint::addlocation,collectionpoint,addlocation,0,0,0,0,0,0,1,0,0
collectionpoint::addoperatinghours,collectionpoint,addoperatinghours,0,0,1,1,1,0,0,0,0
collectionpoint::applyupdates,collectionpoint,applyupdates,0,1,0,0,0,0,0,0,0
collectionpoint::calculatedistance,collectionpoint,calculatedistance,0,0,1,0,0,0,0,0,0
collectionpoint::changeoperatingprovider,collectionpoint,changeoperatingprovider,0,0,0,0,1,0,0,0,0
collectionpoint::createcollectionpoint,collectionpoint,createcollectionpoint,0,0,1,0,1,0,0,0,1
collectionpoint::createlocation,collectionpoint,createlocation,1,1,0,0,0,0,0,0,0
collectionpoint::createoreditlocation,collectionpoint,createoreditlocation,0,0,0,0,0,1,0,0,0
collectionpoint::createpoint,collectionpoint,createpoint,1,1,1,0,1,0,0,0,0
collectionpoint::deactivate,collectionpoint,deactivate,0,1,0,0,0,1,0,0,0
collectionpoint::deactivatecollectionpoint,collectionpoint,deactivatecollectionpoint,0,0,0,0,0,1,0,0,0
collectionpoint::deactivatelocation,collectionpoint,deactivatelocation,1,0,0,0,0,0,0,0,0
collectionpoint::deactivatepoint,collectionpoint,deactivatepoint,0,0,0,0,1,0,0,0,1
collectionpoint::findnearby,collectionpoint,findnearby,0,0,1,0,0,0,0,0,0
collectionpoint::findnearbypoints,collectionpoint,findnearbypoints,0,0,1,0,0,0,0,0,0
collectionpoint::getavailablepoints,collectionpoint,getavailablepoints,0,0,0,0,0,0,0,0,1
collectionpoint::getavailabletimeslots,collectionpoint,getavailabletimeslots,0,0,0,1,0,0,0,0,0
collectionpoint::getbytype,collectionpoint,getbytype,0,0,1,0,0,0,0,0,0
collectionpoint::getdetails,collectionpoint,getdetails,0,1,0,0,0,0,0,0,0
collectionpoint::getlocationdetails,collectionpoint,getlocationdetails,0,0,0,0,0,0,0,0,1
collectionpoint::getoperatinghours,collectionpoint,getoperatinghours,0,0,0,0,0,0,1,0,0
collectionpoint::getoperatinghoursforday,collectionpoint,getoperatinghoursforday,0,0,1,0,0,0,0,0,0
collectionpoint::isavailableat,collectionpoint,isavailableat,0,0,1,0,0,0,0,0,0
collectionpoint::isopenat,collectionpoint,isopenat,0,0,1,0,0,0,0,0,0
collectionpoint::isopennow,collectionpoint,isopennow,0,0,1,0,0,0,0,0,0
collectionpoint::isoperatingat,collectionpoint,isoperatingat,0,0,1,0,0,0,0,0,0
collectionpoint::listbycriteria,collectionpoint,listbycriteria,0,1,0,0,0,0,0,0,0
collectionpoint::listpoints,collectionpoint,listpoints,0,1,0,0,0,1,0,0,0
collectionpoint::removeoperatinghours,collectionpoint,removeoperatinghours,0,0,1,0,1,0,0,0,0
collectionpoint::savechanges,collectionpoint,savechanges,0,1,0,0,0,0,0,0,0
collectionpoint::savedetails,collectionpoint,savedetails,0,0,0,0,0,0,0,0,1
collectionpoint::savelocation,collectionpoint,savelocation,0,0,0,0,0,1,0,0,1
collectionpoint::saveupdates,collectionpoint,saveupdates,0,1,0,0,0,0,0,0,0
collectionpoint::searchnearby,collectionpoint,searchnearby,0,0,0,0,0,0,0,0,1
collectionpoint::searchpoints,collectionpoint,searchpoints,0,0,0,0,0,1,0,0,0
collectionpoint::setaddress,collectionpoint,setaddress,0,0,0,0,0,1,0,0,0
collectionpoint::setdetails,collectionpoint,setdetails,0,0,0,0,0,1,0,0,0
collectionpoint::setlocationaddress,collectionpoint,setlocationaddress,0,0,0,0,1,0,0,0,0
collectionpoint::setname,collectionpoint,setname,0,0,0,0,0,1,0,0,0
collectionpoint::setoperatinghours,collectionpoint,setoperatinghours,0,0,0,0,0,1,0,0,0
collectionpoint::settype,collectionpoint,settype,0,0,0,0,0,1,0,0,0
collectionpoint::updatecollectionpoint,collectionpoint,updatecollectionpoint,0,0,1,0,0,1,1,1,0
collectionpoint::updatedetails,collectionpoint,updatedetails,1,1,0,0,1,1,1,0,1
collectionpoint::updatefacilityinfo,collectionpoint,updatefacilityinfo,0,0,0,1,0,0,0,0,0
collectionpoint::updatefacilitytype,collectionpoint,updatefacilitytype,0,0,0,1,0,0,0,0,0
collectionpoint::updatelocation,collectionpoint,updatelocation,1,1,0,0,0,0,1,0,0
collectionpoint::updatelocationdetails,collectionpoint,updatelocationdetails,1,0,0,1,0,0,1,0,1
collectionpoint::updatename,collectionpoint,updatename,0,0,0,0,0,1,0,0,0
collectionpoint::updateoperatinghours,collectionpoint,updateoperatinghours,0,0,1,1,1,1,0,0,1
collectionpoint::updatepoint,collectionpoint,updatepoint,1,0,1,0,0,0,0,0,0
collectionpoint::updateposition,collectionpoint,updateposition,0,0,1,0,1,0,0,0,0
collectionpoint::validate,collectionpoint,validate,0,0,1,0,0,0,0,0,0
collectionpoint::validateaccessibility,collectionpoint,validateaccessibility,0,0,0,1,0,0,0,0,0
collectionpoint::validateaddress,collectionpoint,validateaddress,0,1,0,0,0,0,0,0,1
collectionpoint::validatecollectionpoint,collectionpoint,validatecollectionpoint,0,0,1,0,0,0,0,0,0
collectionpoint::validatedetails,collectionpoint,validatedetails,0,1,0,0,1,1,0,0,0
collectionpoint::validatefacilitydetails,collectionpoint,validatefacilitydetails,0,0,0,1,0,0,0,0,0
collectionpoint::validatefacilitytype,collectionpoint,validatefacilitytype,0,0,0,1,0,0,0,0,0
collectionpoint::validatelocation,collectionpoint,validatelocation,0,1,0,0,0,0,0,0,1
collectionpoint::validatelocationdata,collectionpoint,validatelocationdata,0,1,0,0,0,0,0,0,1
collectionpoint::validatelocationdetails,collectionpoint,validatelocationdetails,0,1,0,0,0,1,0,0,0
collectionpoint::validatelocationuniqueness,collectionpoint,validatelocationuniqueness,0,0,0,1,0,0,0,0,0
collectionpoint::validateoperatinghours,collectionpoint,validateoperatinghours,0,1,1,1,1,0,0,0,1
collectionpoint::validatepoint,collectionpoint,validatepoint,0,0,1,0,0,0,0,0,0
collectionpoint::validatepointdata,collectionpoint,validatepointdata,0,0,1,0,1,0,0,0,0
collectionpoint::validateuniqueness,collectionpoint,validateuniqueness,0,0,1,0,0,0,0,0,0
collectionpoint::viewcollectionpoints,collectionpoint,viewcollectionpoints,0,0,0,0,0,1,0,0,0
collectionpoint::viewdetails,collectionpoint,viewdetails,0,1,0,0,0,1,0,0,0
collectionpoint::viewpointinfo,collectionpoint,viewpointinfo,1,0,0,0,0,0,0,0,0
collectionrequest::accept,collectionrequest,accept,0,1,0,0,0,0,1,0,0
collectionrequest::acceptcollection,collectionrequest,acceptcollection,1,0,0,0,0,0,0,0,0
collectionrequest::acceptrequest,collectionrequest,acceptrequest,1,1,0,0,0,1,0,0,1
collectionrequest::assigncollection,collectionrequest,assigncollection,1,0,0,0,0,0,0,0,0
collectionrequest::assignvehicle,collectionrequest,assignvehicle,0,0,1,1,0,0,1,0,0
collectionrequest::assignvehicletype,collectionrequest,assignvehicletype,0,0,1,0,0,0,0,0,0
collectionrequest::checkavailability,collectionrequest,checkavailability,0,0,0,0,0,0,0,0,1
collectionrequest::completerequest,collectionrequest,completerequest,0,0,0,0,0,1,0,0,0
collectionrequest::confirmcollection,collectionrequest,confirmcollection,0,0,0,0,0,1,0,0,0
collectionrequest::create,collectionrequest,create,0,1,0,0,0,0,0,0,0
collectionrequest::createcollectionrequest,collectionrequest,createcollectionrequest,1,0,1,0,1,0,0,0,0
collectionrequest::createrequest,collectionrequest,createrequest,0,0,0,0,0,1,0,0,1
collectionrequest::decline,collectionrequest,decline,0,1,0,0,0,0,0,0,0
collectionrequest::dispatch,collectionrequest,dispatch,0,1,0,0,0,0,0,0,0
collectionrequest::initializecollectionrequest,collectionrequest,initializecollectionrequest,0,0,0,0,1,0,0,0,0
collectionrequest::markascollected,collectionrequest,markascollected,1,0,0,0,1,0,0,0,1
collectionrequest::markcollected,collectionrequest,markcollected,1,1,0,0,0,0,0,0,0
collectionrequest::proposealternativetime,collectionrequest,proposealternativetime,0,0,0,0,0,0,0,0,1
collectionrequest::schedule,collectionrequest,schedule,1,0,0,0,0,0,0,0,0
collectionrequest::schedulecollection,collectionrequest,schedulecollection,1,0,0,0,0,1,1,1,1
collectionrequest::setcollectionlocation,collectionrequest,setcollectionlocation,0,0,1,0,0,0,0,0,0
collectionrequest::setlocation,collectionrequest,setlocation,0,0,0,0,0,1,0,0,0
collectionrequest::setvehicletype,collectionrequest,setvehicletype,0,0,1,0,0,1,0,0,0
collectionrequest::specifycollectiondetails,collectionrequest,specifycollectiondetails,0,0,1,0,0,0,0,0,0
collectionrequest::startcollection,collectionrequest,startcollection,0,1,0,0,0,0,0,0,0
collectionrequest::submit,collectionrequest,submit,0,1,0,0,0,0,0,0,0
collectionrequest::submitcollectionrequest,collectionrequest,submitcollectionrequest,1,0,0,0,0,0,0,0,0
