Model,Run,File,Class,MethodName,Signature,Has_UC_Annotation,UC_References,UC_Action,Best_Match_Action,SimilarityScore
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionPoint,updateDetails,+ updateDetails () : ValidationResult,True,20,Update collection point name/type/hours,Create collection point,0.5580288767814636
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionPoint,viewPointInfo,+ viewPointInfo () : String,True,22,Display collection/recycling point info,Create collection point,0.5675408840179443
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,assignCollection,+ assignCollection (provider : ServiceProvider),True,8,Assign provider to collection request,Accept collection request,0.5537444353103638
ChatGPT-4o,1,ChatGPT-4o_run1.json,CollectionRequest,markAsCollected,+ markAsCollected (),True,8,Update collection request as completed,Update request status to collected,0.7937168478965759
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,notifyDeactivation,+ notifyDeactivation (user : UserProfile),True,15,Email account deactivation confirmation,Send account deactivation confirmation email,0.8103113174438477
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,notifyRequestAccepted,+ notifyRequestAccepted (user : UserProfile),True,8,Notify user of request acceptance,Notify user of request acceptance,0.8354294300079346
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,sendResetLink,+ sendResetLink (user : UserCredentials),True,3,Email password reset link,Send password reset link email,0.9013547897338867
ChatGPT-4o,1,ChatGPT-4o_run1.json,NotificationService,sendVerificationEmail,+ sendVerificationEmail (user : UserProfile),True,1,Send email verification link,Send verification email,0.7033647298812866
ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,createListing,+ createListing () : ValidationResult,True,5,List new recyclable product,List product,0.5162229537963867
ChatGPT-4o,1,ChatGPT-4o_run1.json,Product,updateListing,+ updateListing () : ValidationResult,True,13,Edit recyclable product details,Update product listing,0.5659189224243164
ChatGPT-4o,1,ChatGPT-4o_run1.json,RoleManager,assignRole,"+ assignRole (profile : UserProfile, role : UserRole) : ValidationResult",True,21,Assign new role to a user,Assign role,0.8409271240234375
ChatGPT-4o,1,ChatGPT-4o_run1.json,RoutePlan,defineRoute,+ defineRoute (points : Coordinates[]),True,9,Define vehicle route,Plan route,0.5409488677978516
ChatGPT-4o,1,ChatGPT-4o_run1.json,SearchFilter,apply,+ apply () : Product[],True,14,Filter and retrieve product listings,List product,0.4176657795906067
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceProvider,updateServiceDetails,+ updateServiceDetails () : ValidationResult,True,19,"Update vehicle types, availability, and service areas",Update service provider details,0.6392545104026794
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,cancelRequest,+ cancelRequest (user : UserProfile),True,12,Cancel service request if not fulfilled,Cancel service request,0.746938943862915
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,submitRequest,+ submitRequest () : ValidationResult,True,6,Submit new service request,Submit service request,0.826677680015564
ChatGPT-4o,1,ChatGPT-4o_run1.json,ServiceRequest,viewStatus,+ viewStatus () : RequestStatus,True,11,View request status,Get service request status,0.5430896282196045
ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,assignTransport,+ assignTransport (provider : ServiceProvider),True,9,Assign provider to transport request,Accept transport request,0.5395745038986206
ChatGPT-4o,1,ChatGPT-4o_run1.json,TransportRequest,completeTransport,+ completeTransport (),True,9,Mark transport as completed,Perform transport pickup,0.6217360496520996
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,activateAccount,+ activateAccount (),True,1,Mark account as active after email verification,Activate account,0.6672135591506958
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,createAccount,+ createAccount () : ValidationResult,True,1,Create user account with unverified status,Create an unverified user account,0.8317340612411499
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,deactivateAccount,+ deactivateAccount (reason : String),True,15,Deactivate account with reason,Request account deactivation,0.8219683766365051
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserAccount,lockAccount,+ lockAccount (),True,2,Lock account after multiple failed login attempts,Deactivate account,0.36859750747680664
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,confirmPasswordReset,+ confirmPasswordReset (),True,3,Confirm and finalize password reset,Notify user of password reset confirmation,0.6857738494873047
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,generateResetToken,+ generateResetToken (),True,3,Generate password reset token,Generate and store password reset token,0.929257869720459
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,recordFailedAttempt,+ recordFailedAttempt (),True,2,Increment failed login counter,Record login timestamp,0.47213438153266907
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,recordLogin,+ recordLogin (),True,2,Record successful login time,Record login timestamp,0.7765780687332153
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,resetPassword,+ resetPassword (newPassword : String),True,3,Reset password using valid token,Update password using reset token,0.7920776605606079
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserCredentials,validateCredentials,+ validateCredentials (password : String) : Boolean,True,2,Validate login credentials,Validate credentials,0.7068737149238586
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserProfile,updateProfileInfo,+ updateProfileInfo () : ValidationResult,True,4,Update user personal data,Update user profile,0.8331048488616943
ChatGPT-4o,1,ChatGPT-4o_run1.json,UserProfile,verifyEmail,+ verifyEmail (),True,1,Mark email as verified,Verify email,0.7269426584243774
